,id,release_date,movie,production_budget,domestic_gross,genres,tconst,runtime
4697,98,2001-08-08,The Deep End,3000000,8823109,,,
4698,99,2013-05-24,Before Midnight,3000000,8110621,"Drama,Romance",tt2209418,109.0
4699,100,1987-11-20,Teen Wolf Too,3000000,7888000,,,
4700,1,2009-07-31,The Collector,3000000,7712114,"Action,Comedy",tt2879218,94.0
4701,2,1988-07-08,Phantasm II,3000000,7282851,,,
4702,3,2017-10-27,Let There Be Light,3000000,7233471,Documentary,tt2774034,97.0
4703,4,2006-04-07,Phat Girlz,3000000,7061128,,,
4704,5,2004-10-01,Woman Thou Art Loosed,3000000,6879730,,,
4705,6,2002-10-18,Real Women Have Curves,3000000,5853194,,,
4706,7,1981-08-28,Gallipoli,3000000,5732587,,,
4707,8,2006-04-28,Water,3000000,5529144,"Crime,Thriller",tt2378581,
4708,9,2016-07-22,Donât Think Twice,3000000,4417983,,,
4709,10,2016-06-24,Swiss Army Man,3000000,4210454,"Adventure,Comedy,Drama",tt4034354,97.0
4710,11,2000-04-14,East is East,3000000,4170647,,,
4711,12,2000-09-01,Whipped,3000000,4142507,,,
4712,13,1997-02-28,Kama Sutra,3000000,4109095,Romance,tt4327966,93.0
4713,14,2013-05-17,Frances Ha,3000000,4067398,"Comedy,Drama,Romance",tt2347569,86.0
4714,15,2010-04-30,Please Give,3000000,4033574,"Comedy,Drama",tt0878835,87.0
4715,16,1971-06-30,Willy Wonka & the Chocolate Factory,3000000,4000000,,,
4716,17,1993-09-24,Warlock: The Armageddon,3000000,3902679,,,
4717,18,1997-04-18,8 Heads in a Duffel Bag,3000000,3602884,,,
4718,19,1978-09-13,Days of Heaven,3000000,3446749,,,
4719,20,2002-05-24,Thirteen Conversations About One Thing,3000000,3287435,,,
4720,21,2016-04-22,Compadres,3000000,3127773,"Action,Comedy,Crime",tt3367294,101.0
4721,22,1999-02-19,Jawbreaker,3000000,3076820,,,
4722,23,1996-08-09,Basquiat,3000000,2962051,,,
4723,24,2006-02-24,Tsotsi,3000000,2912606,,,
4724,25,2010-04-09,Letters to God,3000000,2848587,"Drama,Family",tt1462054,110.0
4725,26,1998-10-16,Happiness,3000000,2746453,"Documentary,Drama,Family",tt3458776,80.0
4726,27,2003-04-04,DysFunkTional Family,3000000,2255000,,,
4727,28,2014-09-19,Tusk,3000000,1821983,"Comedy,Drama,Horror",tt3099498,102.0
4728,29,2017-05-12,The Wall,3000000,1803064,Documentary,tt1455256,78.0
4729,30,2003-10-24,Elephant,3000000,1266955,,,
4730,31,2012-04-06,Damsels in Distress,3000000,1007535,"Comedy,Drama,Romance",tt1667307,99.0
4731,32,2005-03-25,Oldboy,3000000,707391,"Action,Drama,Mystery",tt1321511,104.0
4732,33,2011-05-06,Hobo with a Shotgun,3000000,703372,"Action,Comedy,Horror",tt1640459,86.0
4733,34,2015-05-08,The D Train,3000000,669688,"Comedy,Drama",tt2690138,101.0
4734,35,2012-09-07,Bachelorette,3000000,446770,"Comedy,Romance",tt1920849,87.0
4735,36,2010-01-15,Fish Tank,3000000,374675,,,
4736,37,2008-09-05,Everybody Wants to Be Italian,3000000,351416,,,
4737,38,2011-09-09,Creature,3000000,331000,Horror,tt1686018,93.0
4738,39,2016-12-09,The Bounce Back,3000000,321910,"Comedy,Romance",tt3253232,104.0
4739,40,1996-08-23,Freeway,3000000,295493,Drama,tt2076384,90.0
4740,41,2006-10-06,Love's Abiding Joy,3000000,252726,,,
